abv,ibu,label
3.9,20.0,American Pale Wheat Ale
3.9,20.0,American Pale Wheat Ale
3.9,20.0,American Pale Wheat Ale
5.8,60.0,American Amber / Red Ale
5.8,35.0,American Stout
6.6,75.0,American IPA
7.3,70.0,American Strong Ale
6.0,60.0,American White IPA
5.8,60.0,American Amber / Red Ale
7.3,70.0,American Strong Ale
5.1,32.0,Czech Pilsener
6.6,75.0,American IPA
5.1,17.0,Hefeweizen
6.8,90.0,American IPA
6.5,22.0,Winter Warmer
5.0,10.0,Fruit / Vegetable Beer
4.6,27.0,American Pale Wheat Ale
6.5,80.0,American Black Ale
5.4,45.0,American Pale Ale (APA)
4.8,32.0,American Amber / Red Ale
5.5,42.0,American Pale Ale (APA)
5.9,27.0,Witbier
5.8,58.0,American Pale Ale (APA)
7.0,75.0,American IPA
5.5,20.0,Cream Ale
4.5,20.0,American Blonde Ale
6.8,55.0,American IPA
5.3,28.0,American Pale Ale (APA)
5.2,18.0,Keller Bier / Zwickel Bier
4.8,15.0,American Pale Lager
7.2,80.0,American India Pale Lager
6.7,65.0,American India Pale Lager
4.9,45.0,American India Pale Lager
5.5,37.0,American Pale Ale (APA)
5.0,15.0,Hefeweizen
5.0,50.0,American Pale Ale (APA)
9.3,90.0,American Double / Imperial IPA
5.2,15.0,American Adjunct Lager
5.2,16.0,Hefeweizen
5.8,25.0,Munich Dunkel Lager
5.5,40.0,American Pale Ale (APA)
5.5,25.0,Märzen / Oktoberfest
4.7,20.0,Kölsch
6.6,20.0,Saison / Farmhouse Ale
9.5,85.0,American Double / Imperial IPA
4.9,45.0,American Amber / Red Lager
5.2,15.0,Hefeweizen
6.6,70.0,American IPA
5.7,19.0,Euro Dark Lager
6.0,64.0,American IPA
5.5,23.0,Czech Pilsener
5.0,15.0,American Blonde Ale
6.5,11.0,Scotch Ale / Wee Heavy
6.5,65.0,American IPA
6.5,65.0,American IPA
5.5,50.0,American Pale Ale (APA)
6.5,65.0,American IPA
6.5,11.0,Scotch Ale / Wee Heavy
